Use Case,Prompt,Category,Tool Compatibility,Prompt Type,Description/Notes,Tab
Designing an interactive hero section with micro-animations and scroll effects,"Create an immersive, award-winning hero section with sophisticated animations and scroll-triggered effects. Implementation: (1) Parallax scrolling background with foreground content moving at different speeds (z-axis depth), (2) Fade-in animations for headline and CTA on page load (0.5s delay with ease-out), (3) Micro-interactions on hover: CTA button with scale transform (1.05x) and shadow depth increase, (4) Scroll-triggered reveals: Elements fade in with upward slide animation as user scrolls (use Intersection Observer API), (5) Subtle floating animation for hero image or illustrations, (6) Mouse-tracking spotlight effect that follows cursor, (7) Smooth scroll for anchor links with offset, (8) Video background (muted autoplay) or animated gradient background. Ensure all animations respect prefers-reduced-motion for accessibility. Optimize performance: use CSS transforms (not position) and will-change property sparingly.",Interactive & Immersive Elements,"Lovable, Replit, ChatGPT, Cursor, v0",Design,"Implements cutting-edge animation techniques seen in Awwwards Site of the Day winners. Creates engaging, delightful user experiences while maintaining performance. Animations should enhance, not overwhelm, with respect for accessibility preferences.",✨ Award-Winning Homepage Designs
Implementing a full-screen video background homepage with overlay content,"Design a cinematic homepage featuring full-screen video background with content overlay. Technical implementation: (1) Video specifications: MP4 format for broad compatibility, 1920x1080 minimum resolution, 30-60 seconds loop, Muted autoplay on page load, Fallback image for mobile or slow connections, (2) Video optimization: Compress to under 5MB for fast loading, Lazy load video after critical content, Use poster attribute for instant display, (3) Content overlay: Semi-transparent dark overlay (rgba(0,0,0,0.5)) for text readability, White text for maximum contrast, Centered content: headline, subheadline, CTA, Minimal text to avoid competing with video, (4) Controls: Pause/play button in corner, Mute/unmute toggle, Skip to content anchor link, (5) Accessibility: Provide text alternative for video content, Ensure video doesn't trigger motion sickness (avoid rapid movement), Test with prefers-reduced-motion preference. Use cases: Brand storytelling, Product demonstrations, Lifestyle branding, Event promotion.",Interactive & Immersive Elements,"Lovable, Replit, ChatGPT, Cursor, v0",Design,"Creates dramatic, engaging homepage experiences with full-screen video. Video backgrounds can increase engagement by 80% when properly optimized. Common in Awwwards winners, requires careful performance optimization.",✨ Award-Winning Homepage Designs
Designing a homepage with 3D elements and immersive graphics,"Create a cutting-edge homepage featuring 3D graphics and interactive elements. 3D implementation: (1) Hero 3D element: 3D product model that rotates on mouse movement, Three.js or similar WebGL library, Smooth camera movements, Option to click and drag for manual rotation, (2) 3D illustrations: Floating isometric illustrations, Layered depth creating parallax effect, Shadows and lighting for realism, (3) Interactive scenes: Elements that respond to scroll position, Morphing 3D shapes, Particles or confetti effects on interactions, (4) Performance optimization: Lazy load 3D assets after page load, Reduced 3D complexity on mobile devices, Fallback to 2D images if WebGL unavailable, (5) Integration with content: 3D elements complement, not overwhelm content, Text overlays on 3D backgrounds remain readable, Smooth integration between 3D and flat sections. Use Spline, Three.js, or React Three Fiber for implementation. Ensure 3D doesn't block main content. Test performance across devices. Reference: Gallery of Emerging Species (Awwwards winner) for inspiration.",Interactive & Immersive Elements,"Lovable, Replit, ChatGPT, Cursor",Design,Implements cutting-edge 3D design seen in 2025 award-winning sites. 3D elements create memorable experiences and demonstrate technical sophistication. Increases engagement but requires careful performance optimization.,✨ Award-Winning Homepage Designs
Creating a homepage with cursor-following interactive elements,"Design subtle, sophisticated cursor-following effects that enhance interactivity. Interactive cursor elements: (1) Custom cursor design: Replace default cursor with custom design, Scale changes on hover over interactive elements, Color changes based on element hovered, Smooth follow animation (use transform, not position), (2) Cursor follower elements: Circular element that follows cursor with delay, Size: 20-40px diameter, Opacity: 20-40% for subtlety, Blends with page content, Grows on hover over clickable elements, (3) Magnetic effects: Elements that slightly move toward cursor on hover, Buttons with magnetic pull effect (within 100px radius), Smooth animation using lerp (linear interpolation), (4) Spotlight effect: Circular highlight that follows cursor, Darkens rest of page slightly, Useful for image reveals or emphasis, Toggle on/off with button, (5) Implementation: Use requestAnimationFrame for smooth performance, Track mouse position with event listeners, Apply transforms for smooth animations, Disable on mobile (touch devices), Respect prefers-reduced-motion. Keep effects subtle - enhance, don't distract. Test performance impact. Ensure site is fully usable without effects.",Interactive & Immersive Elements,"Lovable, Replit, ChatGPT, Cursor",Design,Implements sophisticated cursor interactions seen in award-winning portfolio sites. Custom cursors create unique brand experiences and demonstrate technical prowess. Popular in creative agency and designer portfolios.,🎯 START HERE - Pre-Session Setup
Creating a homepage with horizontal scrolling sections or galleries,"Design an engaging homepage with horizontal scrolling sections that create unique navigation experiences. Horizontal scroll implementation: (1) Section structure: Container with overflow-x: scroll or auto, Content wider than viewport, Flex or grid layout for items, Smooth scrolling behavior enabled, Snap points for item alignment (CSS scroll-snap), (2) Use cases: Project/portfolio gallery, Product showcase carousel, Timeline visualization, Feature comparison, Testimonial slider, Image galleries, (3) User experience: Scroll indicators (arrows, dots, or progress bar), Mouse wheel hijacking for horizontal scroll (optional), Drag to scroll functionality, Keyboard navigation (arrow keys), Touch/swipe gestures on mobile, 'Scroll to explore' indicator, (4) Visual design: Items with consistent sizing or varied for interest, Spacing between items (24-40px), Fade-out edges to indicate more content, Center-focused design (highlight middle item), Momentum scrolling for natural feel, (5) Responsive behavior: Maintain horizontal scroll on tablet, Convert to vertical stack on mobile, Or: Reduce items per view on smaller screens. Ensure keyboard accessibility. Provide alternative navigation for users who prefer it. Don't overuse - one horizontal section per page maximum.",Interactive & Navigation,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Creates distinctive horizontal scrolling experiences that break traditional vertical flow. Horizontal sections add visual interest and are particularly effective for galleries and timelines. Popular in Awwwards winners like Nomadic Tribe.,✨ Award-Winning Homepage Designs
Creating a language/region selector for international homepages,"Design an intuitive language and region selection interface for global sites. Selector components: (1) Trigger placement: Globe icon in header/footer, Flag icons showing current language, Text link ('EN | 中文 | ES'), Footer position common, (2) Selection modal: List of available languages, Region/country selection if relevant, Search/filter for long lists, Show language in native script (español, not Spanish), Flag icons for visual recognition, (3) User experience: Remember user's choice (cookie/localStorage), Redirect to appropriate language version, Preserve user's current page (switch language, not page), Show warning if content not available in chosen language, Option to auto-detect language from browser, (4) Design: Clean, simple modal or dropdown, Organized by regions if many languages, Current language highlighted, Hover/focus states, (5) Mobile optimization: Bottom sheet modal on mobile, Larger touch targets, Grouped by region for easier scanning. Update URL to reflect language (/en/, /es/). Include RTL support for Arabic, Hebrew. Test translations thoroughly. Default to browser language when possible.",Internationalization & UX,"Lovable, Replit, ChatGPT, v0, Bolt",Strategy,Implements effective internationalization that expands global reach. Proper language selection can increase international conversions by 30%+. Essential for global businesses and SaaS platforms serving multiple markets.,✨ Award-Winning Homepage Designs
Creating landing page copy that converts cold traffic,"Write conversion-optimized landing page copy for [product/service] targeting [audience] with [specific pain point]. Structure:

1. Headline: Attention-grabbing promise (under 12 words)
2. Subheadline: Clarify the transformation
3. Hero section: Emotional hook and credibility
4. Problem agitation: 3-5 specific pain points
5. Solution presentation: How you solve it uniquely
6. Features & benefits: 5-7 key points
7. Social proof: Testimonial framework
8. Risk reversal: Guarantee language
9. CTA: Primary and secondary calls-to-action
10. Urgency/scarcity elements

Use conversational tone, power words, and ensure mobile-readability. Include A/B testing suggestions for key elements.",Landing Page Design,"ChatGPT, Claude, Lovable, Copy.ai",Content,"Generates complete landing page copy following proven conversion frameworks. Incorporates psychological triggers and persuasion principles. Ideal for PPC campaigns, product launches, and lead generation pages.",✨ Award-Winning Homepage Designs
Building a complete landing page from scratch,"Context: You are an expert full-stack developer using modern web technologies.
Task: Create a responsive landing page for a SaaS product with a hero section, features grid, pricing table, and contact form.
Guidelines: Use React and Tailwind CSS. Design should be minimalistic and follow modern UI trends. Include smooth scroll animations.
Constraints: Mobile-first approach, ensure accessibility (WCAG 2.1 AA), do not use external libraries beyond React and Tailwind.",Landing Pages,"Lovable, Cursor, Bolt.new, Replit",Training Wheels,"Structured prompt using labeled sections (Context, Task, Guidelines, Constraints) for clarity. Best for complex tasks where you need precise control over requirements.",✨ Award-Winning Homepage Designs
Pricing page design,"Create a pricing page with:
- 3 pricing tiers (cards)
- Monthly/annual toggle with discount
- Feature comparison table
- Highlighted recommended plan
- CTA buttons for each tier
- FAQ section below

Make it conversion-optimized and mobile responsive.",Landing Pages,"Lovable, Bolt.new, v0",No Training Wheels,Marketing-focused pricing page. Focus on conversion optimization and clear value propositions.,💎 UI/UX Excellence
FAQ section,"Create a FAQ section with:
- Accordion UI for questions
- Search functionality
- Categories for topics
- Smooth expand/collapse animations
- Schema markup for SEO
- Link to contact support

Make it scannable and user-friendly.",Landing Pages,All tools,No Training Wheels,FAQ with search and categories. Include structured data for rich snippets in search results.,🚀 Interactive & Immersive Elements
Feature comparison,"Build a comparison table:
- Compare [products/plans/features]
- Sticky header on scroll
- Highlight differences
- Responsive: horizontal scroll on mobile
- CTA buttons in table
- Filter by criteria

Visually distinguish the recommended option.",Landing Pages,All tools,No Training Wheels,Comparison table for decision-making. Make it scannable with visual hierarchy.,🎨 Visual Design & Modern Aesthetics
Documentation website,"Create a documentation site:
- Sidebar navigation with sections
- Search functionality
- Code syntax highlighting
- Copy code button
- Next/previous page navigation
- Version selector
- Dark mode

Use Docusaurus, VitePress, or build custom.",Landing Pages,"Cursor, Lovable, Windsurf",Training Wheels,Documentation site structure. Use a docs framework for consistent experience and built-in features.,💎 UI/UX Excellence
Product changelog,"Build a changelog page:
- Version releases with dates
- Categorized changes (features, fixes, breaking)
- Markdown rendering for descriptions
- Filter by version or category
- RSS feed for updates
- Email notifications option

Use semantic versioning.",Landing Pages,All tools,No Training Wheels,Changelog for product updates. Keep users informed about new features and fixes.,💎 UI/UX Excellence
Service status page,"Create a status page:
- System status indicators
- Incident history
- Subscribe to status updates
- Uptime percentages
- Component status breakdown
- Maintenance schedule

Update via API or admin panel.",Landing Pages,All tools,No Training Wheels,Status page for service health. Use services like Statuspage or build custom.,📄 Landing Pages & Lead Generation
Product waitlist,"Build a waitlist/early access:
- Sign up form with email
- Referral program integration
- Position in queue display
- Email notifications when invited
- Admin panel to manage invites
- Export waitlist data

GDPR compliant.",Landing Pages,All tools,Training Wheels,Waitlist for product launches. Include referral incentives to grow list organically.,💎 UI/UX Excellence
Help center/knowledge base,"Create a help center:
- Searchable knowledge base
- Article categories
- Helpful/not helpful voting
- Related articles
- Contact support CTA
- Analytics on popular articles

SEO optimized for discoverability.",Landing Pages,All tools,Training Wheels,Self-service help center. Reduce support burden by providing searchable documentation.,🎯 Conversion & Funnel Optimization
Designing an irresistible lead magnet for top-of-funnel lead capture,"I need to create a high-converting lead magnet for [niche/audience] who struggle with [specific problem]. Design a [ebook/checklist/quiz/toolkit] that:
- Provides immediate, actionable value
- Addresses the core pain point: [problem]
- Positions my solution as the next logical step
- Is scannable and easy to consume
- Includes compelling visuals and examples

Provide a detailed outline with chapter/section titles, key points for each section, visual suggestions, and a persuasive title under 10 words. Include opt-in page copy and post-download nurturing email sequence.",Lead Generation,"ChatGPT, Claude, Canva AI, Lovable",Content,Creates complete lead magnet with supporting materials. Focuses on value delivery and conversion optimization. Best for building email lists and establishing authority in the awareness stage.,🎨 Visual Design & Modern Aesthetics
Developing interactive quiz funnel for product recommendations,"Create an interactive quiz funnel for [product category] that:

1. Quiz structure:
   - 5-10 engaging questions that segment users
   - Question types: multiple choice, image selection, slider scales
   - Logic branching based on answers
   - Personality/product match algorithm

2. Personalized results:
   - Custom product recommendations
   - Explanation of why products match
   - Social sharing capabilities
   - Email capture for detailed results

3. Implementation:
   - Quiz builder tool recommendations
   - Code structure for custom builds
   - Design mockups and user flow
   - Mobile optimization considerations

4. Conversion optimization:
   - Progress indicators
   - Compelling result page with CTAs
   - Follow-up email sequence
   - Retargeting strategy for quiz takers

Provide complete quiz copy, result templates, and technical implementation guide. Target: 40%+ quiz completion rate.",Lead Generation,"Lovable, Replit, ChatGPT, Typeform",Design,Creates engaging interactive experience that qualifies leads while collecting data. Quizzes typically have 30-50% higher engagement than static forms. Excellent for personalized product recommendations.,🚀 Interactive & Immersive Elements
Implementing chatbot for automated lead qualification,"Design an AI chatbot conversation flow for [business type] that qualifies leads and books appointments:

1. Conversation structure:
   - Welcoming greeting and value proposition
   - Qualifying questions sequence (5-7 questions)
   - Pain point identification
   - Budget/timeline qualification
   - Next step recommendation

2. Branching logic:
   - Qualified lead → Book appointment
   - Unqualified lead → Nurture sequence
   - Hot lead → Immediate call option
   - Needs more info → Resource library

3. Personality and tone:
   - Brand voice guidelines
   - Response templates for common scenarios
   - Empathy and relationship-building phrases
   - Handling objections and FAQs

4. Technical implementation:
   - Platform recommendations (ManyChat, Drift, custom)
   - Integration with CRM and calendar
   - Lead scoring and routing rules
   - Handoff to human agents protocol

Provide complete conversation scripts, flowcharts, and performance metrics to track. Target: 30%+ lead qualification rate.",Lead Generation,"ChatGPT, ManyChat, Replit, Dialogflow",Strategy,Automates initial lead qualification 24/7 while maintaining personalized experience. Frees up sales team for high-value conversations. Can handle 80%+ of initial inquiries without human intervention.,💎 UI/UX Excellence
Implementing progressive profiling in multi-step forms,"Design a progressive profiling strategy for [sales funnel] that collects user data gradually:

1. Data collection strategy:
   - Stage 1: Essential data only (name, email)
   - Stage 2: Qualification data (company, role)
   - Stage 3: Preference data (interests, goals)
   - Stage 4: Behavioral data (actions, engagement)

2. Form optimization:
   - Multi-step form design
   - Progress indicators
   - Save and return functionality
   - Smart field visibility rules

3. Timing and triggers:
   - When to ask for each data point
   - Behavioral triggers for additional questions
   - Value exchange for data sharing
   - Balance between data collection and friction

4. Technical implementation:
   - Form builder tool selection
   - CRM integration for data enrichment
   - Cookie-based returning user detection
   - Data security and privacy compliance

Provide form structures, field prioritization, and code examples. Target: 40%+ higher completion rates than single-step forms.",Lead Generation,"Lovable, Replit, Typeform, ChatGPT",Design,Reduces form abandonment by collecting data over time rather than all at once. Respects user privacy while building complete profiles. Can increase form completion by 40-60%.,💎 UI/UX Excellence
Building an email newsletter signup section with lead magnet offer,"Design a high-converting email signup section that builds your subscriber list. Signup components: (1) Value proposition: Compelling headline (e.g., 'Get Weekly Design Tips'), Specific benefits of subscribing (list 2-3 bullets), Frequency promise ('Every Tuesday', 'Weekly', 'No spam ever'), (2) Lead magnet: Free resource offer (ebook, template, guide, checklist), Visual thumbnail of the resource, Clear title and description, Immediate delivery promise ('Instant access'), (3) Form design: Email input field only (reduce friction), Optional name field, Large, prominent 'Subscribe' button, Action-oriented button text ('Get My Free Guide'), Privacy assurance ('We respect your privacy'), (4) Visual elements: Relevant illustration or image, Background color to distinguish section, Icon of email or newsletter, (5) Post-signup: Thank you message, Confirmation email requirement notification, Social media follow options. Integrate with email service (Mailchimp, ConvertKit). Include GDPR-compliant checkbox if required. A/B test different lead magnets.",Lead Generation & Conversion,"Lovable, Replit, ChatGPT, Cursor, v0",Strategy,Creates effective email capture that can increase signup rates by 50%+ with compelling lead magnets. Email list building is crucial for long-term marketing success. Lead magnets increase perceived value exchange.,🎨 Visual Design & Modern Aesthetics
Cookie consent,"Add cookie consent banner:
- GDPR/CCPA compliant
- Granular cookie preferences
- Remember user choice
- Block non-essential cookies until consent
- Link to privacy policy
- Accessible and non-intrusive

Use cookie consent library or build custom.",Legal & Compliance,All tools,Training Wheels,Privacy-compliant cookie banner. Check local regulations for specific requirements.,💎 UI/UX Excellence
Creating a cookie consent banner with GDPR compliance,"Design a user-friendly cookie consent banner that meets legal requirements. Banner components: (1) Placement options: Bottom banner (most common), Top banner, Modal overlay (for first visit), Corner popup, (2) Content: Clear headline ('We use cookies'), Brief explanation of cookie usage (1-2 sentences), Link to full Privacy Policy, Link to Cookie Policy, (3) Action buttons: 'Accept All' button (prominent, primary color), 'Reject All' or 'Necessary Only' option, 'Customize' or 'Manage Preferences' button, (4) Preferences modal (if customizable): Cookie categories: Necessary (always on), Analytics, Marketing, Personalization, Toggle switches for each category, Description of each category's purpose, Save preferences button, (5) Technical implementation: Set consent cookie on choice, Respect user's choice, Remember choice for X days/months, Load tracking scripts only after consent, Re-show banner if consent expires. Design should not obstruct critical content. Make consent genuine, not coercive. Include reject option equal to accept. Test across devices.",Legal & Compliance,"Lovable, Replit, ChatGPT, v0, Bolt",Strategy,Implements legally compliant cookie consent meeting GDPR and privacy requirements. Proper implementation protects from legal issues and builds user trust. Essential for sites serving EU visitors and increasingly important globally.,🎨 Visual Design & Modern Aesthetics
Designing local business funnel with geo-targeting,"Create a location-based funnel for [local business type] with multiple locations:

1. Local SEO strategy:
   - Google Business Profile optimization
   - Location-specific landing pages
   - Local keyword targeting
   - Local link building

2. Geo-targeted advertising:
   - Radius targeting for each location
   - Location-specific ad copy
   - Mobile optimization for 'near me' searches
   - Call and direction extensions

3. Conversion optimization:
   - Click-to-call prominently displayed
   - Map integration and directions
   - Local testimonials and reviews
   - Location-specific offers

4. Multi-location management:
   - Centralized tracking and reporting
   - Location-specific promotions
   - Local inventory displays
   - Franchise/multi-location best practices

Provide local funnel blueprint, location page templates, and local marketing playbook. Target: Top 3 ranking for key local searches.",Local Marketing,"ChatGPT, Google My Business, Lovable, BrightLocal",Strategy,Optimizes funnel for local search and foot traffic. Local SEO delivers 28% conversion rate (vs 1-3% for traditional). Critical for businesses with physical locations.,💎 UI/UX Excellence
Prompt refinement and improvement,"Review my last prompt and identify:
1. Any ambiguous requirements
2. Missing information
3. Potential edge cases not covered
4. Suggestions for making it more concise and precise

Then rewrite the prompt with improvements.",Meta Prompting,All tools,Meta Prompting,Meta prompt that uses AI to improve your prompts. Use when your prompts aren't producing desired results or need refinement.,🎯 START HERE - Pre-Session Setup
Documenting solutions for reuse,"Summarize the solution we just implemented for [feature/bug fix]. Include:
- What the problem was
- How we solved it
- Key code changes made
- Lessons learned

Then create a reusable prompt I can use for similar tasks in the future.",Meta Prompting,All tools,Reverse Meta Prompting,Reverse meta prompting that documents solutions and creates reusable prompts. Builds a knowledge base of working solutions.,🎯 START HERE - Pre-Session Setup
Designing mobile-first funnel experience,"Optimize my sales funnel for mobile users visiting from [traffic source]. Address:

1. Mobile UX improvements:
   - Touch-friendly navigation and buttons (minimum 44x44px)
   - Simplified forms with smart defaults
   - Progressive disclosure for complex information
   - Thumb-zone optimized layouts

2. Page speed optimization:
   - Image compression and lazy loading strategies
   - Critical CSS and above-the-fold optimization
   - Minimize HTTP requests

3. Mobile-specific content:
   - Scannable copy with short paragraphs
   - Click-to-call and map integration
   - Mobile-optimized CTAs

4. Technical implementation:
   - Responsive design breakpoints
   - Mobile-first CSS framework
   - Performance testing checklist

Provide code snippets and mobile preview mockups. Target: <3 second load time, >50% mobile conversion rate.",Mobile Optimization,"Lovable, Replit, ChatGPT, Figma",Design,Creates a mobile-optimized funnel that converts effectively on smaller screens. Addresses technical and UX considerations for mobile users. Critical as mobile traffic often exceeds 60% of total visitors.,💎 UI/UX Excellence
Building an intuitive navigation system with modern information architecture,"Design a comprehensive navigation system that balances simplicity with depth of content. Components: (1) Primary navigation: Horizontal menu with 5-7 main items, mega-menu dropdowns for complex hierarchies showing visual previews, (2) Mobile navigation: Hamburger menu that expands to full-screen overlay with large touch targets, (3) Sticky header that condenses on scroll, (4) Breadcrumbs for deep pages showing user location, (5) Search functionality with autocomplete, (6) Secondary footer navigation with sitemap structure, (7) Visual indicators for current page (active state highlighting). Organize content using card sorting principles: group related items, use clear labels (not clever/vague wording), limit dropdown depth to 2 levels maximum. Include icons beside navigation labels for visual recognition. Ensure keyboard navigation support (Tab key) and ARIA labels for screen readers.",Navigation & Information Architecture,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Creates intuitive navigation following NN/G usability guidelines. Good navigation reduces bounce rates by up to 40% and helps users quickly find content. Based on patterns from CSS Design Award winners emphasizing usability and user flow.,🎨 Visual Design & Modern Aesthetics
Creating a mega-menu navigation for complex site hierarchies,"Design a sophisticated mega-menu that handles deep site hierarchies elegantly. Mega-menu structure: (1) Trigger: Hover or click on main nav item to reveal, Smooth dropdown animation (fade + slide down), Backdrop overlay dimming page content, (2) Menu layout: Full-width dropdown panel (or section-width), Multi-column grid layout (3-5 columns), Column categories with bold headers, Link lists under each category, Visual separator between columns, (3) Enhanced features: Thumbnail images for featured items, Icons beside links for visual recognition, Featured content card highlighting popular pages, 'View All' links at column bottoms, Recent or trending items section, (4) Design elements: Subtle background color difference, Consistent padding and spacing, Hover states on individual links, Smooth transitions on menu close, (5) Mobile adaptation: Convert to accordion-style menu, Category headers expandable, Nested levels revealed on tap. Ensure keyboard navigation works (Tab through links). Include close button in mobile version. Limit depth to 2-3 levels maximum for usability.",Navigation & Information Architecture,"Lovable, Replit, ChatGPT, Cursor, v0",Design,"Creates powerful navigation for content-rich sites with many pages. Mega-menus improve discoverability and reduce clicks to content by 30%. Essential for large e-commerce sites, universities, and content portals.",🎨 Visual Design & Modern Aesthetics
Designing a homepage footer with comprehensive navigation and information,"Create a feature-rich footer that serves as a sitemap and information hub. Footer structure: (1) Multi-column layout: 4-5 columns on desktop, Stack vertically on mobile, Column headers (bold, slightly larger), Link lists under each header (8-12 links max per column), (2) Column categories: Products/Services, Company (About, Careers, Press), Support (FAQ, Contact, Help), Legal (Privacy, Terms, Cookies), Resources (Blog, Guides, Case Studies), (3) Footer top section: Newsletter signup form, Social media icon links, Award badges or certifications, Trust signals or payment icons, (4) Footer bottom: Copyright notice, Business registration details, Language/region selector, Back to top button, (5) Visual design: Distinct background color (darker than body), Ample padding (60-80px top/bottom), Subtle divider line above footer, Consistent link styling with hover effects, (6) Additional elements: Contact information, Business hours, Map or location, Mobile app download buttons. Ensure all links are accessible and functional. Footer should be scannable and organized. Include sitemap link for SEO.",Navigation & Information Architecture,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Creates comprehensive footers that improve navigation and SEO. Well-organized footers help users find information and can reduce support requests by 15%. Essential for larger sites with extensive page hierarchies.,✨ Award-Winning Homepage Designs
Designing a one-page scrolling website with smooth section navigation,"Create a single-page scrolling website with distinct sections and smooth navigation. Structure: (1) Fixed navigation: Sticky header with anchor links to sections, Active section indicator in nav (current section highlighted), Logo that scales down on scroll, (2) Section design: Full-height sections (100vh) for impact, Distinct visual theme for each section (colors, backgrounds), Smooth scroll behavior with CSS scroll-snap, Scroll progress indicator (top or side), (3) Section types: Hero/intro, About/mission, Services/features, Portfolio/work, Team, Testimonials, Contact/footer, (4) Transitions: Fade-in animations as sections enter viewport, Parallax backgrounds between sections, Section dividers (angled edges, waves, curves), (5) Navigation aids: 'Scroll to explore' indicator on hero, Floating 'Back to top' button, Section pagination dots on side, Keyboard navigation support (arrow keys). Optimize for mobile with shorter sections. Ensure all content is accessible via keyboard Tab navigation.",Navigation & UX,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Creates seamless one-page experiences that keep users engaged through smooth scrolling. Single-page sites reduce bounce rates and create cohesive narratives. Popular format for portfolios and small business sites.,✨ Award-Winning Homepage Designs
Creating a sticky header that transforms on scroll with smart behavior,"Design an intelligent sticky header that adapts as users scroll for optimal UX. Header behavior: (1) Initial state (top of page): Full-height header (80-100px), Large logo, Full navigation menu, Optional tagline or contact info, Background transparent or subtle, (2) Scrolled state: Condenses to 60-70px height, Logo scales down by 20-30%, Background becomes solid or gains shadow, Hide secondary elements (tagline, social icons), Smooth transition animation (300ms), (3) Smart features: Hide header on scroll down (save screen space), Show header on scroll up (quick access), Threshold: trigger after 100px scroll, Breakpoint: different behavior on mobile, (4) Navigation updates: Active page indicator, Search icon/bar in header, CTA button remains prominent, Mobile hamburger menu, (5) Additional elements: Progress bar showing page scroll position, Skip to content link for accessibility. Implement using Intersection Observer API or scroll event. Ensure no layout shift when header changes. Test on different scroll speeds.",Navigation & UX,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Implements smart sticky navigation that improves UX by staying accessible while maximizing screen space. Smart headers reduce navigation time by 50% and improve mobile experience. Common pattern in award-winning responsive designs.,🚀 Interactive & Immersive Elements
Performance optimization,"Optimize this component for performance:
[paste code]

Apply these techniques:
- Implement React.memo or useMemo where appropriate
- Reduce unnecessary re-renders
- Lazy load images and components
- Code split large bundles

Explain the performance impact of each change.",Optimization,"Cursor, Windsurf",Training Wheels,Performance optimization prompt for React components. Use when components are slow or cause unnecessary re-renders.,🎯 Conversion & Funnel Optimization
Performance optimization,"Implement lazy loading:
- Lazy load images below fold
- Skeleton loaders for content
- Infinite scroll implementation
- Code splitting for routes
- Dynamic imports for heavy components
- Prefetch on hover

Measure performance improvements.",Optimization,All tools,Training Wheels,Comprehensive lazy loading strategy. Use Intersection Observer API for efficient implementation.,🚀 Interactive & Immersive Elements
Optimizing homepage for maximum performance and loading speed,"Create a performance-optimized homepage that loads in under 2 seconds. Implementation checklist: (1) Image optimization: Use WebP format with fallbacks, implement lazy loading for below-fold images, use responsive images with srcset for different screen sizes, compress images to under 100KB each, (2) Code optimization: Minimize CSS/JS files, remove unused code, defer non-critical JavaScript, inline critical CSS, (3) Font loading: Use font-display: swap, subset fonts to include only used characters, limit to 2 font families, (4) Reduce HTTP requests: Combine files where possible, use CSS sprites for small icons, (5) Enable compression (Gzip/Brotli), (6) Implement browser caching with appropriate cache headers, (7) Use CDN for static assets, (8) Optimize Core Web Vitals: LCP under 2.5s, FID under 100ms, CLS under 0.1. Monitor with Lighthouse and PageSpeed Insights.",Performance & Optimization,"Lovable, Replit, ChatGPT, Cursor, v0",Strategy,Implements comprehensive performance optimization strategies. Sites loading in under 3 seconds retain 70% more users. Fast loading is crucial for Awwwards recognition and user satisfaction. Based on Core Web Vitals and modern performance best practices.,✨ Award-Winning Homepage Designs
Designing a loading screen with branded animation and progress indicator,"Create an engaging loading screen that entertains users during page load. Loading design: (1) Loading animation: Branded spinner or logo animation, Smooth, looping animation, Represents brand personality (playful, professional, etc.), Use CSS animations or Lottie files, (2) Progress indication: Percentage counter (0-100%), Loading bar with smooth fill, Estimated time remaining (if calculable), Loading stage messages ('Loading assets...', 'Almost there...'), (3) Content priority: Show skeleton screens for main content, Progressive loading (show content as it loads), Fade out loading screen when ready, Don't block interaction if some content is ready, (4) Design elements: Background color matching site theme, Centered animation, Optional tagline or message, (5) Technical implementation: Lazy load non-critical assets, Preload critical resources, Set maximum loading time (5 seconds), Fallback for slow connections. Avoid splash screens on fast loads (show content immediately). Use loading screen only when necessary (initial load, large content). Test loading experience on slow connections.",Performance & UX,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Creates branded loading experiences that reduce perceived wait time and maintain engagement. Well-designed loaders improve user patience and brand recall. Should complement overall performance optimization strategy.,🎨 Visual Design & Modern Aesthetics
Implementing AI-powered personalization across funnel stages,"Create a hyper-personalization strategy for my sales funnel that:
- Segments users based on [behavioral data/demographics/psychographics]
- Delivers dynamic content based on user intent signals
- Implements predictive analytics for user behavior
- Personalizes email sequences and web experiences
- Uses real-time data to adjust offers and messaging

Provide specific AI tools for each personalization tactic, implementation steps, and expected conversion rate improvements. Target audience: [describe audience].",Personalization,"ChatGPT, Replit, Custom AI Tools",Strategy,Develops a comprehensive personalization framework using AI. Increases conversion rates by 20-50% through targeted experiences. Best combined with CRM integration and behavioral tracking tools.,🎯 Conversion & Funnel Optimization
